|        in        | sel |regis|loa|       out        |
| 0000000000000001 | 000 | 000 | 1 | 0000000000000000 |
| 0000000000000011 | 000 | 001 | 1 | 0000000000000001 |
| 0000000000000111 | 000 | 010 | 1 | 0000000000000011 |
| 0000000000001111 | 000 | 011 | 1 | 0000000000000111 |
| 0000000000011111 | 000 | 100 | 1 | 0000000000001111 |
| 0000000000000011 | 001 | 000 | 1 | 0000000000011111 |
| 0000100000000011 | 100 | 011 | 1 | 0000000000000011 |
| 0001000000000001 | 111 | 111 | 1 | 0000100000000011 |
| 0000000000000000 | 000 | 000 | 0 | 0000000000000000 |
| 0000000000000000 | 000 | 001 | 0 | 0000000000000000 |
| 0000000000000000 | 000 | 010 | 0 | 0000000000000000 |
| 0000000000000000 | 000 | 011 | 0 | 0000000000000000 |
| 0000000000000000 | 000 | 100 | 0 | 0000000000000000 |
| 0000000000000000 | 001 | 000 | 0 | 0000000000000000 |
| 0000000000000000 | 100 | 011 | 0 | 0000000000000000 |
| 0000000000000000 | 111 | 111 | 0 | 0000000000000000 |
